sku_id,category,product_name,scenario_order_lines,scenario_units_ordered,scenario_units_fulfilled,scenario_stockout_orders,scenario_unfulfilled_value_rupees,scenario_fulfilled_revenue_rupees,scenario_fill_rate_pct,data_origin,priority_rank,priority_score
2586,"Meats, Fish & Eggs",Fresh Mutton Curry Cut Cubes (Halal),1,3,0,1,1326.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,508,35
2152,Ice Cream & Desserts,Yummiez Green Peas,2,5,0,2,1250.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,184,50
2104,Ice Cream & Desserts,Pediasure Premium Chocolate Powdered Health Drink,2,2,0,2,1220.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,503,35
2094,Ice Cream & Desserts,Pedigree Dog Food Adult Meat & Rice,2,2,0,2,1216.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,329,45
1057,Munchies,Figaro Pure Olive Oil,2,4,0,2,1196.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,609,25
2497,Chocolates & Candies,Bagrry's Fruit Fibre Muesli Mixed Fruit,2,4,2,1,1190.0,1190.0,50.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
252,Cooking Essentials,Godrej Yummiez Chicken Nuggets,3,6,2,2,1172.0,586.0,33.33,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,541,30
2582,"Meats, Fish & Eggs",Godrej Real Good Chicken Lollypop,3,7,0,3,1106.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,492,40
3050,Personal Care,Himalaya Anti Hair Fall Shampoo,3,5,2,2,1101.0,734.0,40.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
1911,Ice Cream & Desserts,Kellogg's Real Almond & Honey Corn Flakes,3,3,1,2,1040.0,520.0,33.33,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
2865,Personal Care,Old Spice After Shave Lotion Musk,2,5,0,2,1000.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
3336,Paan Corner,Himalaya Men Pimple Clear Neem Face Wash,3,6,0,3,978.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,651,25
3052,Personal Care,Vaseline Intensive Care Deep Moisture Body Lotion,3,9,6,1,975.0,1950.0,66.67,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
3425,Paan Corner,Parachute Advansed Gold Coconut Hair Oil,2,5,0,2,970.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,189,50
2526,Chocolates & Candies,Zorabian Chicken Kheema Parathas,3,5,0,3,950.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,339,45
2790,Personal Care,Gillette Mach 3 Mens Razor Blades,1,2,0,1,920.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
1106,Munchies,Popular Essentials Buckwheat Flour (Kuttu Atta),4,8,0,4,904.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,74,55
3612,Home & Cleaning,Whiskas Adult +1 year Salmon in Gravy,3,5,1,2,900.0,225.0,20.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
884,Munchies,Dabur 100% Pure Honey,1,3,0,1,891.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,606,25
554,Cooking Essentials,Aashirvaad Atta With Mutigrains,2,3,0,2,861.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,43,55
2745,Biscuits,Britannia Good Day Cashew Cookies,4,5,0,4,860.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,3,65
3630,Home & Cleaning,Comfort After Wash Fabric Conditioner Lily Fresh,2,4,0,2,848.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,56,55
2432,Chocolates & Candies,Mother's Recipe Mango Pickle,6,9,2,4,840.0,240.0,22.22,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,854,20
1110,Munchies,India Gate Basmati Rice,2,4,0,2,840.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,192,50
2591,"Meats, Fish & Eggs",Zorabian Chicken Legs Skinless,2,4,0,2,840.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,548,30
1800,Ice Cream & Desserts,Ferrero Nutella Hazelnut Spread,3,4,0,3,828.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,626,25
1700,Packaged Food,Nestlé CERELAC Baby Cereal with Milk,3,4,1,2,816.0,272.0,25.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,810,20
1079,Munchies,Satyam Singdana,3,7,0,3,777.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,79,55
3081,Personal Care,Parachute Advansed Gold Coconut Hair Oil,2,4,0,2,776.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,190,50
472,Cooking Essentials,Popular Essentials Classic Sona Masuri Rice,9,12,10,1,774.0,3870.0,83.33,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
1918,Ice Cream & Desserts,Maggi Hot & Sweet - Tomato Chilli Sauce,4,6,1,3,765.0,153.0,16.67,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,561,30
1750,Packaged Food,Zorabian Chicken Kheema Parathas,2,4,0,2,760.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,343,45
2144,Ice Cream & Desserts,Del Monte Eggless Mayo,3,6,0,3,756.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,71,55
1715,Packaged Food,Yummiez Chicken Garlic Fingers Pouch,2,4,1,1,750.0,250.0,25.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
3546,Home & Cleaning,Surf Excel Matic Powder Front Load,1,1,0,1,750.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,322,45
2600,"Meats, Fish & Eggs",Godrej Real Good Chicken Boneless Cubes,3,3,0,3,744.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,5,60
2510,Chocolates & Candies,Safal Frozen Mixed Vegetables,6,13,0,6,741.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,117,55
2590,"Meats, Fish & Eggs",TGFC Basa Fillets,2,3,0,2,741.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,484,40
3730,Health & Hygiene,Whisper Bindazzz Night Sanitary Pads XL Plus,3,4,0,3,740.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,195,50
3095,Personal Care,Whisper Bindazzz Night Sanitary Pads XL Plus,2,4,0,2,740.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,199,50
3097,Personal Care,"MamyPoko Pants Standard Diapers, Extra Large (12 - 17 kg)",1,2,0,1,738.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,178,50
100,Cooking Essentials,Aashirvaad Superior MP Atta,2,4,1,1,735.0,245.0,25.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
3266,Paan Corner,Comfy Baby Pants XL 12-17 kg,1,2,0,1,728.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,594,25
797,Munchies,On1y Pepper Grinder,4,7,2,2,720.0,288.0,28.57,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,659,25
2560,"Meats, Fish & Eggs",Godrej Real Good Chicken Marinated Lollipop,3,6,2,2,720.0,360.0,33.33,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,491,40
2831,Personal Care,"Garnier Color Naturals Crème Hair Color, Shade 5 Light Brown",2,4,0,2,720.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,839,20
3346,Paan Corner,Oral-B Charcoal Cross Cross Extra Soft Toothbrush (Buy 2 Get 1 Free),2,4,0,2,720.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,838,20
1295,Beverages,Amul Cheese Slices,4,5,3,2,718.0,1077.0,60.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,509,35
2558,"Meats, Fish & Eggs",Godrej Real Good Chicken Drumstick,2,3,0,2,717.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,487,40
3063,Personal Care,Dove Hair Fall Rescue Shampoo,1,3,0,1,708.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
1581,Packaged Food,Pantai Light Soy Sauce,1,3,0,1,702.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
3626,Home & Cleaning,Gala No Dust Broom,2,4,0,2,700.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,193,50
1097,Munchies,Daawat Super Basmati Rice,2,4,0,2,676.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,62,55
3691,Health & Hygiene,Dabur Chyawanprash,1,2,0,1,676.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
3320,Paan Corner,Pantene Hair Fall Control Shampoo,3,5,2,2,663.0,442.0,40.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,619,25
2146,Ice Cream & Desserts,Mother's Recipe Mixed Pickle,3,6,0,3,660.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,358,45
2656,Biscuits,Lotte Choco Pie,3,6,1,2,655.0,131.0,16.67,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,522,35
3396,Paan Corner,Vaseline Intensive Care Deep Moisture Body Lotion,4,5,3,1,650.0,975.0,60.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
2394,Chocolates & Candies,Ching's Secret Green Chilli Sauce,3,8,0,3,648.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,723,25
1737,Packaged Food,Ching's Secret Veg Hakka Noodles,4,6,0,4,642.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,237,50
2564,"Meats, Fish & Eggs",Fresh Chicken Whole Leg - Skinless (Halal),4,10,6,2,628.0,942.0,60.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,519,35
2786,Personal Care,Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil,4,6,2,2,628.0,314.0,33.33,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
1368,Beverages,Nestle A+ Slim Milk,3,7,0,3,623.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,17,60
1412,Packaged Food,Ferrero Nutella Hazelnut Spread,2,3,0,2,621.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,627,25
2114,Ice Cream & Desserts,Kissan Mixed Fruit Jam,2,4,0,2,620.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,211,50
2392,Chocolates & Candies,Nestle Nan Pro 4 Follow Up Formula Powder For Older Infants,1,1,0,1,620.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,495,35
2971,Personal Care,"L'Oreal Paris Excellence Creme Hair Color, 4 Natural Brown/Natural Dark Brown",1,1,0,1,620.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,501,35
3202,Paan Corner,"L'Oreal Paris Excellence Creme Hair Color, 3 Dark Brown/Natural Darkest Brown",1,1,0,1,620.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
2553,"Meats, Fish & Eggs",Fresh Chicken Boneless Cubes (Halal),3,4,1,2,612.0,204.0,25.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,490,40
93,Fruits & Vegetables,Safal Frozen - Sweet Corn,4,4,0,4,608.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,64,55
1179,"Dairy, Bread & Batter",Epigamia Greek Yogurt - Natural,3,3,0,3,600.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,550,30
3033,Personal Care,Set Wet Swag Avatar Deodorant & Body Spray Perfume For Men,1,3,0,1,597.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,834,20
3053,Personal Care,L'Oreal Paris Dream Lengths Conditioner,2,5,2,1,597.0,398.0,40.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,832,20
3304,Paan Corner,Gillette Classic Regular Pre Shave Foam,2,4,1,1,597.0,199.0,25.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
1641,Packaged Food,Bagrrys Fruit N Fibre Muesli - Strawberry,1,1,0,1,595.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,481,40
3591,Home & Cleaning,Philips EyePro 10.5W Light Bulb,2,6,3,1,594.0,594.0,50.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
3427,Paan Corner,Godrej No.1 Bathing Soap – Lime & Aloe Vera,4,7,0,4,588.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,84,55
1379,Beverages,RRO Mozzarella Block Cheese,2,4,0,2,588.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,47,55
1524,Packaged Food,Kellogg's Crunchy Granola Chocolate & Almonds,2,4,2,1,588.0,588.0,50.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
1903,Ice Cream & Desserts,"Kellogg's Crunchy Granola Honey, Almonds, Strawberries & Pumpkin Seeds",1,2,0,1,588.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,605,25
2291,Chocolates & Candies,"Kellogg's Crunchy Granola Honey, Almonds, Strawberries & Pumpkin Seeds",1,2,0,1,588.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,603,25
766,Munchies,Godrej Yummiez Chicken Nuggets,1,2,0,1,586.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,543,30
3632,Home & Cleaning,Surf Excel Quick Wash,2,3,0,2,585.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,59,55
2573,"Meats, Fish & Eggs",Zorabian Chicken Smoked Ham,2,5,2,1,582.0,388.0,40.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,516,35
3600,Home & Cleaning,Scotch Brite Multi-Purpose Sponge Wipes,3,5,4,1,581.0,2324.0,80.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
645,Munchies,Gowardhan Ghee Jar,3,3,2,1,579.0,1158.0,66.67,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
3706,Health & Hygiene,Stayfree Secure XL Size Sanitary Napkins,4,10,5,2,575.0,575.0,50.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
566,Cooking Essentials,Tata Sampann Moong Chilka,3,7,0,3,574.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,91,55
2147,Ice Cream & Desserts,Godrej Yummiez Chicken Breakfast Salami,2,4,0,2,572.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,346,45
2515,Chocolates & Candies,Lijjat Moong Papad,4,10,0,4,570.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,271,50
676,Munchies,Dhara Life Refined Ricebran Oil (Pouch),2,4,1,1,570.0,190.0,25.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
1095,Munchies,Patanjali Cow's Ghee,1,1,0,1,565.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,2,65
571,Cooking Essentials,Dabur Ginger Garlic Paste,6,12,0,6,564.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,289,50
604,Cooking Essentials,Pro Nature Organic Sonamasoori Brown Rice,3,6,0,3,564.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,80,55
3055,Personal Care,Whisper Ultra Soft XL+ Sanitary Pads,2,3,2,1,555.0,1110.0,66.67,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,507,35
3711,Health & Hygiene,Whisper Ultra Soft XL+ Sanitary Pads,1,1,0,1,555.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,505,35
2534,Chocolates & Candies,Mother's Recipe Mixed Pickle,3,5,0,3,550.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,357,45
3009,Personal Care,"L'Oreal Paris Excellence Creme Hair Color, 3.16 Burgundy",1,1,0,1,550.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
631,Munchies,Tata Sampann kabuli chana,2,4,1,1,549.0,183.0,25.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
1924,Ice Cream & Desserts,Ching's Singapore Curry Instant Noodles,7,15,6,4,540.0,360.0,40.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
2008,Ice Cream & Desserts,Mother's Recipe Punjabi Teekha Mang Pickle,3,5,0,3,540.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
2888,Personal Care,Engage M3 Perfume Spray for Men,1,3,0,1,540.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
3193,Paan Corner,HImalaya Gentle Baby Wipes,2,4,1,1,540.0,180.0,25.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
2448,Chocolates & Candies,Kitchen Of India Ready-To-Eat Pindi Channa,4,7,0,4,539.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,861,20
2013,Ice Cream & Desserts,Organic India Apple Cider Vinegar,1,1,0,1,536.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,334,45
448,Cooking Essentials,Betty Crocker Mug Treats - Chocolate Mix - Pack of 4,1,3,0,1,534.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
2536,Chocolates & Candies,Hershey's Cocoa + Almond Spread,1,2,0,1,532.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,179,50
1111,Munchies,24 Mantra Organic Whole Wheat Atta,4,9,0,4,531.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,114,55
3084,Personal Care,Sensodyne Sensitive Fresh Gel Toothpaste,3,5,0,3,530.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,228,50
3154,Paan Corner,L'Oreal Paris Total Repair 5 Shampoo,1,2,0,1,530.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,812,20
3138,Paan Corner,Dabur Amla Hair Oil,3,6,0,3,528.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,885,20
3089,Personal Care,Whisper Choice Regular Sanitary Pads,3,6,0,3,522.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,368,45
3651,Health & Hygiene,Vicks VapoRub,4,6,2,3,516.0,258.0,33.33,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,664,25
2800,Personal Care,Himalaya Anti Dandruff Shampoo,3,5,1,2,512.0,128.0,20.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,670,25
729,Munchies,Dabur Honey Squeezy,1,3,0,1,501.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
1109,Munchies,Tata Sampann Kala Chana,2,4,0,2,500.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,224,50
1330,Beverages,RRO Burrata Cheese,2,4,0,2,500.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
2038,Ice Cream & Desserts,Del Monte Black Sliced Olives,2,3,1,1,500.0,250.0,33.33,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,815,20
3616,Home & Cleaning,Ariel Matic Liquid Detergent Front Load,1,2,0,1,500.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
2016,Ice Cream & Desserts,Bagrrys Fruit and Nut Muesli with Cranberries,2,2,1,1,499.0,499.0,50.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
1350,Beverages,Yoga Bar Peanut Butter Dark Chocolate Jar,4,7,5,1,498.0,1245.0,71.43,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
1994,Ice Cream & Desserts,Quaker Oats Pouch,2,3,1,1,496.0,248.0,33.33,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
2382,Chocolates & Candies,Quaker Oats Pouch,2,5,3,1,496.0,744.0,60.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
1359,Beverages,Amul Pizza Cheese - Mozzarella,3,5,0,3,495.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,82,55
3182,Paan Corner,Colgate Total Charcoal Anticavity Toothpaste,7,12,7,3,495.0,693.0,58.33,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
3683,Health & Hygiene,Dabur Hajmola Maha Candy - Aam+Imli,3,5,1,2,492.0,123.0,20.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,678,25
920,Munchies,Everest Shahi Biryani Masala,1,2,0,1,490.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
2992,Personal Care,Himalaya Men Pimple Clear Neem Face Wash,2,3,0,2,489.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,653,25
733,Munchies,TilSona Til Oil,4,6,3,2,486.0,486.0,50.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,559,30
1568,Packaged Food,ITC Master Chef Veggie Pizza Pocket,2,3,0,2,486.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
2344,Chocolates & Candies,ITC Master Chef Veggie Pizza Pocket,2,4,1,1,486.0,162.0,25.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
