order_id,sku_id,customer_id,dark_store_id,order_date,category,product_name,units_ordered,units_fulfilled,stockout_flag,substitution_accepted,selling_price_rupees,gross_demand_value_rupees,fulfilled_revenue_rupees,unfulfilled_value_rupees,delivery_minutes,data_origin
QCO-SCN-00014,2899,C00868,DS_04,2026-01-04,Personal Care,Pears Pure & Gentle Value Pack Of 4 Bathing Soap,1,1,False,False,125.0,125.0,125.0,0.0,15.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00015,1508,C01708,DS_05,2026-01-05,Packaged Food,The Whole Truth Peanut Butter With Dates - Creamy No Sugar,1,1,False,False,194.0,194.0,194.0,0.0,22.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00016,755,C00645,DS_03,2026-01-26,Munchies,Popular Essentials Cinnamon Whole (Dalchini),2,0,True,True,33.0,66.0,0.0,66.0,24.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00017,1925,C00192,DS_04,2026-01-01,Ice Cream & Desserts,Kellogg's Almonds And Cranberries Granola,1,1,False,False,310.0,310.0,310.0,0.0,19.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00018,162,C00858,DS_05,2026-01-23,Cooking Essentials,Dhara Life Refined Ricebran Oil (Pouch),2,2,False,False,190.0,380.0,380.0,0.0,16.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00019,2927,C00062,DS_03,2026-01-04,Personal Care,Godrej Nupur Henna,1,1,False,False,75.0,75.0,75.0,0.0,16.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00020,2223,C01446,DS_03,2026-01-02,Chocolates & Candies,Ching's Secret Chowmein Hakka Noodles Masala,2,0,True,False,44.0,88.0,0.0,88.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00021,2673,C01654,DS_05,2026-01-24,Biscuits,Unibic Daily Digestive (Multigrain Cookies),1,1,False,False,28.0,28.0,28.0,0.0,17.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00022,1219,C00386,DS_04,2026-01-22,"Dairy, Bread & Batter",President Butter - Salted,3,3,False,False,54.0,162.0,162.0,0.0,16.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00023,3617,C00096,DS_01,2026-01-03,Home & Cleaning,Vim Dishwash Bar,1,0,True,True,22.0,22.0,0.0,22.0,22.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00024,3253,C01365,DS_01,2026-01-02,Paan Corner,Listerine Cool Mint Mouthwash - Mild Taste,2,0,True,True,135.0,270.0,0.0,270.0,15.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00025,2723,C01241,DS_04,2026-01-27,Biscuits,Britannia Milk Bikis Milky Sandwich,1,0,True,False,25.0,25.0,0.0,25.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00026,644,C01428,DS_04,2026-01-08,Munchies,Popular Essentials Misri Dana (Diamond Sugar),2,2,False,False,15.0,30.0,30.0,0.0,22.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00027,1600,C01025,DS_05,2026-01-30,Packaged Food,Maggi Ghee Tadka Upma Express Pouch,1,1,False,False,25.0,25.0,25.0,0.0,21.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00028,89,C01047,DS_01,2026-01-16,Fruits & Vegetables,Beetroot,1,0,True,True,9.0,9.0,0.0,9.0,21.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00029,476,C00489,DS_01,2026-01-30,Cooking Essentials,Popular Essentials Double Beans White,1,1,False,False,54.0,54.0,54.0,0.0,27.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00030,2419,C00568,DS_01,2026-01-28,Chocolates & Candies,Kellogg's Special K Original Corn Flakes,1,0,True,True,133.0,133.0,0.0,133.0,19.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00031,2642,C01137,DS_02,2026-01-19,Biscuits,Unibic Honey Oatmeal Cookies,2,2,False,False,23.0,46.0,46.0,0.0,17.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00032,3603,C01686,DS_03,2026-01-04,Home & Cleaning,Chakaachak Floor Pocha Large,1,1,False,False,50.0,50.0,50.0,0.0,11.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00033,1123,C00557,DS_02,2026-01-27,"Dairy, Bread & Batter",Mother Dairy Classic Curd,1,1,False,False,29.0,29.0,29.0,0.0,15.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00034,1270,C00656,DS_01,2026-01-11,Beverages,Britannia Fruit Bun,2,0,True,True,17.0,34.0,0.0,34.0,28.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00035,1615,C01061,DS_03,2026-01-08,Packaged Food,Kellogg's Chocos,1,1,False,False,269.0,269.0,269.0,0.0,16.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00036,626,C00090,DS_02,2026-01-18,Munchies,Amul Fresh Cream,2,2,False,False,191.0,382.0,382.0,0.0,11.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00037,381,C01176,DS_02,2026-01-11,Cooking Essentials,Popular Essentials Urad Gola White(Un-Polished),1,1,False,False,81.0,81.0,81.0,0.0,20.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00038,1643,C00245,DS_04,2026-01-23,Packaged Food,Kellogg's Special K Original Corn Flakes,1,0,True,False,133.0,133.0,0.0,133.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00039,755,C01230,DS_02,2026-01-08,Munchies,Popular Essentials Cinnamon Whole (Dalchini),2,2,False,False,33.0,66.0,66.0,0.0,20.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00040,2358,C01605,DS_03,2026-01-28,Chocolates & Candies,Ching's Secret Sweet Corn Soup,2,2,False,False,55.0,110.0,110.0,0.0,16.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00041,1487,C01650,DS_01,2026-01-03,Packaged Food,The Whole Truth Energy Bar Choco Cranberry Fudge,2,2,False,False,44.0,88.0,88.0,0.0,13.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00042,2952,C00270,DS_04,2026-01-15,Personal Care,Scalpe Pro Anti dandruff Shampoo 100ml,1,1,False,False,185.0,185.0,185.0,0.0,16.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00043,2497,C01076,DS_03,2026-01-29,Chocolates & Candies,Bagrry's Fruit Fibre Muesli Mixed Fruit,2,2,False,False,595.0,1190.0,1190.0,0.0,19.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00044,1069,C00806,DS_04,2026-01-26,Munchies,Tata Sampann Poha,1,0,True,True,41.0,41.0,0.0,41.0,21.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00045,2950,C00883,DS_02,2026-01-25,Personal Care,Johnson's Baby Top To Toe Bath Body Wash,1,0,True,False,165.0,165.0,0.0,165.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00046,2811,C01246,DS_03,2026-01-19,Personal Care,Fiama Menthol & Magnolia Cooling Gel Bar Soap,3,3,False,False,141.0,423.0,423.0,0.0,15.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00047,1327,C01784,DS_03,2026-01-18,Beverages,RRO Mozzarella Pizza Cheese,1,1,False,False,137.0,137.0,137.0,0.0,19.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00048,966,C01033,DS_05,2026-01-07,Munchies,ITC Master Chef Butter Chicken,1,1,False,False,52.0,52.0,52.0,0.0,17.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00049,2418,C00998,DS_01,2026-01-09,Chocolates & Candies,Ching's Secret Tomato Oats Instant Soup,1,1,False,False,15.0,15.0,15.0,0.0,14.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00050,419,C01177,DS_02,2026-01-18,Cooking Essentials,Praakritik Orrganic Cold Pressed Sesame Oil,1,1,False,False,117.0,117.0,117.0,0.0,18.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00051,662,C00910,DS_05,2026-01-10,Munchies,Arden Desi Eggs,2,2,False,False,95.0,190.0,190.0,0.0,15.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00052,14,C00628,DS_01,2026-01-10,Fruits & Vegetables,Ginger,1,0,True,False,12.0,12.0,0.0,12.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00053,2745,C01482,DS_02,2026-01-21,Biscuits,Britannia Good Day Cashew Cookies,2,0,True,False,172.0,344.0,0.0,344.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00054,2339,C01193,DS_02,2026-01-22,Chocolates & Candies,Saffola Everyday Peppy Tomato Masala Oats,1,1,False,False,171.0,171.0,171.0,0.0,19.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00055,2515,C01018,DS_04,2026-01-15,Chocolates & Candies,Lijjat Moong Papad,3,0,True,False,57.0,171.0,0.0,171.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00056,2730,C00017,DS_04,2026-01-09,Biscuits,Parle Fab! Jam-In Cream Filled,2,0,True,True,34.0,68.0,0.0,68.0,17.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00057,1570,C00496,DS_05,2026-01-06,Packaged Food,Ching's Secret Manchow Soup,1,1,False,False,55.0,55.0,55.0,0.0,14.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00058,1981,C00474,DS_01,2026-01-08,Ice Cream & Desserts,Borges Durum Wheat Pasta Superior Quality,3,3,False,False,149.0,447.0,447.0,0.0,14.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00059,419,C01170,DS_02,2026-01-10,Cooking Essentials,Praakritik Orrganic Cold Pressed Sesame Oil,3,3,False,False,117.0,351.0,351.0,0.0,15.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00060,326,C00223,DS_03,2026-01-29,Cooking Essentials,Weikfield Veg Jelly Crystals - Raspberry,2,2,False,False,44.0,88.0,88.0,0.0,21.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00061,2353,C00688,DS_04,2026-01-10,Chocolates & Candies,Mother's Recipe Bhel Puri Chutney,1,0,True,False,50.0,50.0,0.0,50.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00062,1622,C00820,DS_03,2026-01-28,Packaged Food,Kellogg's Real Honey Corn Flakes,2,2,False,False,267.0,534.0,534.0,0.0,15.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00063,1967,C01334,DS_03,2026-01-17,Ice Cream & Desserts,Mother's Recipe Lime Pickle,2,2,False,False,114.0,228.0,228.0,0.0,19.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00064,2689,C00263,DS_05,2026-01-14,Biscuits,The Bake Shop Masala Lavash,1,1,False,False,70.0,70.0,70.0,0.0,18.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00065,2232,C01091,DS_01,2026-01-09,Chocolates & Candies,Yoga Bar Multigrain Energy Bar Nuts And Seeds,1,1,False,False,35.0,35.0,35.0,0.0,17.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00066,1921,C00986,DS_05,2026-01-23,Ice Cream & Desserts,Mother's Recipe Pickle - Mango,1,1,False,False,109.0,109.0,109.0,0.0,22.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00067,1944,C01331,DS_04,2026-01-26,Ice Cream & Desserts,The Whole Truth Vegan Mocha Almond Fudge Energy Bar No Sugar,2,2,False,False,48.0,96.0,96.0,0.0,14.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00068,1033,C00326,DS_02,2026-01-30,Munchies,Flying Bird Premium Orange Artificial Food Essence,1,1,False,False,60.0,60.0,60.0,0.0,17.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00069,64,C01080,DS_03,2026-01-25,Fruits & Vegetables,Basil,1,0,True,False,17.0,17.0,0.0,17.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00070,1486,C00746,DS_02,2026-01-03,Packaged Food,Mccain Emotibites - Crispy Happy Potato Snack,1,1,False,False,129.0,129.0,129.0,0.0,13.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00071,714,C00467,DS_02,2026-01-27,Munchies,MTR Breakfast Khatta Meetha Poha Mix,2,2,False,False,20.0,40.0,40.0,0.0,12.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00072,1401,C00134,DS_04,2026-01-19,Packaged Food,Ching's Secret Manchow Instant Soup,3,0,True,False,10.0,30.0,0.0,30.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00073,3070,C00686,DS_02,2026-01-16,Personal Care,Revive Revive Liquid,2,2,False,False,71.0,142.0,142.0,0.0,17.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00074,778,C00792,DS_05,2026-01-08,Munchies,Popular Essentials Methi Seeds,1,0,True,False,25.0,25.0,0.0,25.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00075,142,C00092,DS_01,2026-01-16,Cooking Essentials,Parachute Oil,1,1,False,False,37.0,37.0,37.0,0.0,16.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00076,939,C01455,DS_01,2026-01-25,Munchies,Quaker Oats Pouch,1,1,False,False,248.0,248.0,248.0,0.0,16.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00077,986,C01244,DS_05,2026-01-18,Munchies,Popular Essentials Classic Sona Masuri Rice,3,3,False,False,387.0,1161.0,1161.0,0.0,24.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00078,2328,C00571,DS_04,2026-01-04,Chocolates & Candies,Kelloggs Chocos Fills Double Chocolat,1,1,False,False,88.0,88.0,88.0,0.0,12.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00079,1934,C00085,DS_03,2026-01-23,Ice Cream & Desserts,Ching's Secret Lemon Coriander Instant Soup,1,1,False,False,15.0,15.0,15.0,0.0,12.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00080,2736,C01272,DS_02,2026-01-24,Biscuits,Bauli Moonfils Choco Cream (With Egg),2,0,True,True,15.0,30.0,0.0,30.0,18.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00081,2337,C00044,DS_02,2026-01-21,Chocolates & Candies,Mother's Recipe Madras Appalam,1,1,False,False,45.0,45.0,45.0,0.0,17.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00082,1395,C00767,DS_01,2026-01-07,Packaged Food,Top Ramen  Noodles Curry Veg Pouch,1,1,False,False,20.0,20.0,20.0,0.0,19.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00083,2854,C00373,DS_05,2026-01-09,Personal Care,Dove Pink Rosa Beauty Bathinhg Bar,1,1,False,False,60.0,60.0,60.0,0.0,19.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00084,532,C00422,DS_02,2026-01-14,Cooking Essentials,Sugarfree Natural Green Stevia Leaves Zero Calorie,1,1,False,False,75.0,75.0,75.0,0.0,21.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00085,45,C01360,DS_05,2026-01-27,Fruits & Vegetables,Amla,2,2,False,False,27.0,54.0,54.0,0.0,17.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00086,252,C00547,DS_04,2026-01-25,Cooking Essentials,Godrej Yummiez Chicken Nuggets,2,2,False,False,293.0,586.0,586.0,0.0,15.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00087,2584,C00443,DS_02,2026-01-03,"Meats, Fish & Eggs",Everest Tandoori Chicken Masala,3,3,False,False,67.0,201.0,201.0,0.0,24.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00088,1580,C00545,DS_04,2026-01-03,Packaged Food,Kitchens of India Dal Makhani,1,0,True,True,77.0,77.0,0.0,77.0,12.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00089,505,C00268,DS_03,2026-01-02,Cooking Essentials,Cantina Beans Mexican Beans,1,1,False,False,213.0,213.0,213.0,0.0,17.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00090,1751,C01337,DS_03,2026-01-28,Packaged Food,Sunfeast Pasta Treat Pack of Tomato Cheese,3,0,True,False,23.0,69.0,0.0,69.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00091,467,C00892,DS_04,2026-01-26,Cooking Essentials,Flying Bird Pineapple Artifical Food Essence,2,2,False,False,49.0,98.0,98.0,0.0,24.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00092,2475,C00362,DS_04,2026-01-07,Chocolates & Candies,Weikfield Tomato Salsa Instant Pasta,1,0,True,False,25.0,25.0,0.0,25.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00093,1520,C00555,DS_02,2026-01-28,Packaged Food,ITC Master Chef Classic Aloo Tikki,2,2,False,False,72.0,144.0,144.0,0.0,15.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00094,1303,C01760,DS_03,2026-01-16,Beverages,Pillsbury Choco Chip Pancake Mix,2,2,False,False,94.0,188.0,188.0,0.0,12.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00095,1021,C01041,DS_05,2026-01-10,Munchies,Hershey's Chocolate Milk Booster,1,1,False,False,200.0,200.0,200.0,0.0,10.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00096,2219,C01238,DS_02,2026-01-23,Chocolates & Candies,Sunfeast YiPPee! Noodles - Magic Masala,3,3,False,False,91.0,273.0,273.0,0.0,16.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00097,1247,C01542,DS_04,2026-01-03,"Dairy, Bread & Batter",Pillsbury Pancake Mix - Funfetti,1,0,True,False,88.0,88.0,0.0,88.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00098,243,C00723,DS_05,2026-01-04,Cooking Essentials,Pillsbury Atta/Godihittu - Chakki Fresh,1,0,True,True,94.0,94.0,0.0,94.0,26.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00099,337,C00627,DS_04,2026-01-08,Cooking Essentials,Weikfield Falooda Mix - Kesar Pista,1,1,False,False,48.0,48.0,48.0,0.0,15.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00100,3579,C01797,DS_01,2026-01-19,Home & Cleaning,Godrej Aer Power Pocket - Long Lasting Bathroom Fragrance Lavender Bloom,2,2,False,False,55.0,110.0,110.0,0.0,20.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00101,3336,C01020,DS_05,2026-01-26,Paan Corner,Himalaya Men Pimple Clear Neem Face Wash,3,0,True,True,163.0,489.0,0.0,489.0,20.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00102,2494,C00390,DS_05,2026-01-16,Chocolates & Candies,Godrej Yummiez Cheese Corn Nuggets,1,1,False,False,230.0,230.0,230.0,0.0,19.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00103,881,C01546,DS_04,2026-01-14,Munchies,Popular Essentials Dry Dates (Kharak),1,1,False,False,118.0,118.0,118.0,0.0,22.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00104,3610,C01374,DS_04,2026-01-18,Home & Cleaning,Chakaachak Power Scrub (Pack of 2),2,2,False,False,41.0,82.0,82.0,0.0,16.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00105,2724,C00722,DS_01,2026-01-01,Biscuits,Britannia Marie Gold Biscuit,3,0,True,False,28.0,84.0,0.0,84.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00106,2564,C00488,DS_04,2026-01-20,"Meats, Fish & Eggs",Fresh Chicken Whole Leg - Skinless (Halal),3,3,False,False,157.0,471.0,471.0,0.0,12.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00107,1531,C01183,DS_05,2026-01-25,Packaged Food,Ching's Secret Asian Hot Instant Soup,2,2,False,False,15.0,30.0,30.0,0.0,20.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00108,905,C00979,DS_03,2026-01-13,Munchies,Hershey's Cocoa Powder,2,2,False,False,95.0,190.0,190.0,0.0,21.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00109,270,C00426,DS_03,2026-01-20,Cooking Essentials,Popular Essentials Idli Rice,2,2,False,False,54.0,108.0,108.0,0.0,21.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00110,3303,C00098,DS_05,2026-01-09,Paan Corner,Dettol Lather Shaving Cream,3,0,True,True,71.0,213.0,0.0,213.0,16.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00111,1557,C01475,DS_04,2026-01-29,Packaged Food,"The Whole Truth - Nuts, Fruits & Seeds Muesli",1,1,False,False,260.0,260.0,260.0,0.0,16.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00112,671,C01524,DS_01,2026-01-06,Munchies,Everest Pav Bhaji Masala,2,2,False,False,33.0,66.0,66.0,0.0,18.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00113,1041,C01632,DS_01,2026-01-05,Munchies,Kitchens of India Mutter Paneer Mix,1,1,False,False,84.0,84.0,84.0,0.0,19.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00114,2030,C00660,DS_03,2026-01-29,Ice Cream & Desserts,Ching's Secret Tomato Oats Instant Soup,2,0,True,False,15.0,30.0,0.0,30.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
