product_name,sku_rows,category_count,categories,min_mrp_rupees,max_mrp_rupees
Amul Cheese Spread Creamy,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",85.0,85.0
Amul Cheese Spread Spicy Garlic,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",85.0,85.0
Amul Cheese Spread Yummy Plain,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",85.0,85.0
Amul Lite Spread,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",40.0,40.0
Arden Desi Eggs,5,5,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Meats, Fish & Eggs, Munchies",110.0,110.0
Arden Eggs Brown,5,5,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Meats, Fish & Eggs, Munchies",85.0,85.0
Borges Durum Wheat Fusilli Pasta,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",250.0,250.0
Borges Durum Wheat Pasta Superior Quality,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",250.0,250.0
Borges Farfalle Durum Wheat Pasta,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",250.0,250.0
Cantina Beans Mexican Beans,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",250.0,250.0
Chef's Basket Durum Wheat Elbow Pasta,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",160.0,160.0
Chef's Basket Durum Wheat Fusilli Pasta,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",160.0,160.0
Chef's Basket Durum Wheat Penne Pasta,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",160.0,160.0
Ching's Chow Mein Hakka Noodles Masala,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",10.0,10.0
Ching's Manchurian Instant Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",15.0,15.0
Ching's Schezwan Masala Instant Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",60.0,60.0
Ching's Secret Instant Hot Garlic Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",15.0,15.0
"Ching's Secret Instant Noodles, Hot Garlic",5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",60.0,60.0
Ching's Secret Instant Schezwan Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",15.0,15.0
Ching's Secret Veg Hakka Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",107.0,107.0
Ching's Singapore Curry Instant Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",60.0,60.0
Dabur Hommade Tamarind Paste,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",48.0,48.0
Funfoods Peanut Butter Creamy,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",169.0,169.0
Funfoods Peanut Butter Crunchy,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",169.0,169.0
Go Cheese  Spread Plain,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",99.0,99.0
Go Cheese Spread - Four Pepper (Soft & Creamy),5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",99.0,99.0
Go Cheese Spread - Garlic,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",99.0,99.0
Japanese Choice Udon Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",295.0,295.0
Kitchens of India Dal Bukhara Gravy Mix,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",110.0,110.0
Kitchens of India Mutter Paneer Mix,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",120.0,120.0
MTR 3 Min Poha,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",25.0,25.0
MTR Breakfast Khatta Meetha Poha Mix,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",25.0,25.0
Maggi 2 Minute Masala Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",12.0,12.0
Maggi 2-Minute Instant Noodles - Masala,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",44.0,44.0
Maggi Chilly Chow Cuppa Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",50.0,50.0
Maggi Special Masala Spicy Yummy Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",72.0,72.0
Masala Oats Masala & Coriander,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",195.0,195.0
McCain New Mini Samosa with Cheese Corn Style Filling,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",120.0,120.0
McCain New Mini Samosa with Cheese Pizza Style Filling,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",120.0,120.0
Nissin Cup Noodles Tangy Tomato,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",50.0,50.0
Praakritik Organic Jumbo Rolled Oats,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",190.0,190.0
Quaker Oats Breakfast Cereals - With Flavour Mix Nutritious Rich Source Of Energy,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",49.0,49.0
Quaker Oats Pouch,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",276.0,276.0
Saffola Everyday Peppy Tomato Masala Oats,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",195.0,195.0
Saffola Oats 100 % Natural,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",15.0,15.0
Saffola Yummy Masala Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",20.0,20.0
Sunfeast Pasta Treat Pack of Tomato Cheese,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",28.0,28.0
Sunfeast YiPPee! Magic Masala Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",70.0,70.0
Sunfeast Yippee! Magic Masala Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",48.0,48.0
Sunfeast Yippee! Mood Masala Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",60.0,60.0
Sunfeast Yippee! Power Up Atta Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",96.0,96.0
The Laughing Cow Cheese Spread Plain,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",110.0,110.0
The Whole Truth Dark Chocolate Peanut Butter - Creamy,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",235.0,235.0
The Whole Truth Dark Chocolate Peanut Butter - Crunchy,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",235.0,235.0
The Whole Truth Peanut Butter - Sweetened & Crunchy,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",215.0,215.0
The Whole Truth Peanut Butter - Unsweetened & Crunchy,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",185.0,185.0
The Whole Truth Peanut Butter With Dates - Creamy No Sugar,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",215.0,215.0
Top Ramen  Noodles Curry Veg Pouch,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",20.0,20.0
Top Ramen Chicken Noodles,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",60.0,60.0
Top Ramen Masala,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",91.0,91.0
"Top Ramen Noodles, Atta",5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",80.0,80.0
Weikfield Tomato Salsa Instant Pasta,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",25.0,25.0
Yoga Bar Peanut Butter Dark Chocolate Jar,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",249.0,249.0
Yogabar 100% Pure Peanut Butter Creamy & Yummy Unsweetened,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",229.0,229.0
Amul Fresh Cream,8,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies",63.0,197.0
Amul Mithai Mate Condensed Sweetened Milk,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies",56.0,56.0
Amulya Dairy Whitener,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies",380.0,380.0
Betty Crocker Complete Pancake Mix Original,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies",110.0,110.0
D'lecta Dairy Cream,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies",54.0,54.0
Dlicia Whip Topping Bottle,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies",235.0,235.0
Godrej Yummiez Chicken Lucknowi Seekh Kebab,4,4,"Chocolates & Candies, Ice Cream & Desserts, Meats, Fish & Eggs, Packaged Food",260.0,260.0
Nestle Everyday Dairy Whitener,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies",210.0,210.0
Pantai Coconut Cream,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies",150.0,150.0
Pantai Coconut Milk,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies",150.0,150.0
Pillsbury Choco Chip Pancake Mix,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies",99.0,99.0
Safal Frozen - Mixed Vegetables,4,4,"Chocolates & Candies, Fruits & Vegetables, Ice Cream & Desserts, Packaged Food",110.0,110.0
Safal Frozen - Sweet Corn,4,4,"Chocolates & Candies, Fruits & Vegetables, Ice Cream & Desserts, Packaged Food",160.0,160.0
Safal Frozen Corn,4,4,"Chocolates & Candies, Fruits & Vegetables, Ice Cream & Desserts, Packaged Food",41.0,41.0
Safal Frozen Mixed Vegetables,4,4,"Chocolates & Candies, Fruits & Vegetables, Ice Cream & Desserts, Packaged Food",60.0,60.0
Yummiez Chicken Breakfast Sausages,4,4,"Chocolates & Candies, Ice Cream & Desserts, Meats, Fish & Eggs, Packaged Food",150.0,150.0
Kellogg's Real Almond & Honey Corn Flakes,9,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",175.0,550.0
Aashirvaad Suji Halwa With Jaggery,6,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",55.0,75.0
Ching's Secret Green Chilli Sauce,6,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",85.0,105.0
Ching's Secret Just Soak - Veg Hakka Noodles,6,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",30.0,115.0
Everest Tandoori Chicken Masala,6,3,"Cooking Essentials, Meats, Fish & Eggs, Munchies",39.0,74.0
Kellogg's Chocos,6,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",130.0,299.0
Kellogg's Original Corn Flakes,6,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",185.0,310.0
Kellogg's Special K Original Corn Flakes,6,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",140.0,399.0
MTR Roasted Vermicelli,6,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",55.0,105.0
Mother's Recipe Mixed Pickle,6,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",85.0,115.0
Mother's Recipe Pickle - Mango,6,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",125.0,149.0
Pantai Green Curry Paste,6,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",60.0,150.0
Pantai Red Curry Paste,6,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",60.0,150.0
Pedigree Puppy Dry Dog Food Food Chicken & Milk,6,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",290.0,690.0
Prasuma Vegetable Momos,6,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",150.0,270.0
Smith & Jones Masala Noodles,6,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",68.0,89.0
Suguna Nourish Egg,6,3,"Beverages, Dairy, Bread & Batter, Meats, Fish & Eggs",62.0,72.0
Whisper Choice Regular Sanitary Pads,6,3,"Health & Hygiene, Paan Corner, Personal Care",90.0,90.0
Whisper Ultra Clean XL Plus Sanitary Pad,6,3,"Health & Hygiene, Paan Corner, Personal Care",155.0,175.0
Whisper Ultra Soft XL+ Sanitary Pads,6,3,"Health & Hygiene, Paan Corner, Personal Care",330.0,555.0
Yummiez Green Peas,6,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",135.0,250.0
Aashirvaad Instant Meals - Khatta Meetha Pohaa With Millets,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",55.0,55.0
Amul Happy Treats French Fries,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",68.0,68.0
Amul Spray Infant Milk Food,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",197.0,197.0
Baggry's Crunchy Muesli Almond Raisins & Honey,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",130.0,130.0
Bagrry's Fruit Fibre Muesli Mixed Fruit,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",595.0,595.0
Bagrrys Corn Flakes,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",350.0,350.0
Bagrrys Fruit N Fibre Muesli - Strawberry,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",595.0,595.0
Bagrrys Fruit N Fibre Muesli Mixed Fruit,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",330.0,330.0
Bagrrys Fruit and Nut Muesli with Cranberries,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",499.0,499.0
Bagrrys Muesli Crunchy Fruit & Nut With Cranberries,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",330.0,330.0
Bambino Popular Vermicelli,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",40.0,40.0
Bombay Shaving Company Sensitive Cartridges,3,3,"Health & Hygiene, Paan Corner, Personal Care",375.0,375.0
Cantina Tabasco Green Sauce,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",140.0,140.0
Cantina Tabasco Red Sauce,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",140.0,140.0
Cantina Tortilla Dip Sauce Sour Creamy Tex Mex,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",225.0,225.0
Ceres Foods Fish Mustard Instant Liquid Masala,3,3,"Cooking Essentials, Meats, Fish & Eggs, Munchies",220.0,220.0
Ceres Foods Laal Maas Instant Liquid Masala,3,3,"Cooking Essentials, Meats, Fish & Eggs, Munchies",220.0,220.0
Ceres Foods Nalli Nihari Instant Liquid Masala,3,3,"Cooking Essentials, Meats, Fish & Eggs, Munchies",220.0,220.0
Ching's Chicken Chilli Masala,3,3,"Cooking Essentials, Meats, Fish & Eggs, Munchies",10.0,10.0
Ching's Instant Hot and Sour Soup,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",55.0,55.0
Ching's Red Chilli Sauce,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",55.0,55.0
Ching's Secret  Noodles - Pad Thai Lemongras,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",200.0,200.0
Ching's Secret  Pad Thai Noodles Green Curry,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",200.0,200.0
Ching's Secret Asian Hot Instant Soup,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",15.0,15.0
Ching's Secret Chilli Vinegar,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",50.0,50.0
Ching's Secret Hot Garlic Instant Noodles,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",114.0,114.0
Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodle,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",32.0,32.0
Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodles,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",123.0,123.0
Ching's Secret Lemon Coriander Instant Soup,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",15.0,15.0
Ching's Secret Manchow Instant Soup,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",10.0,10.0
Ching's Secret Manchow Noodles Instant Soup,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",15.0,15.0
Ching's Secret Manchow Soup,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",55.0,55.0
Ching's Secret Manchurian Instant Noodle,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",114.0,114.0
Ching's Secret Manchurian Noodles,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",91.0,91.0
Ching's Secret Mix Veg Instant Soup,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",10.0,10.0
Ching's Secret Noodles - Pad Thai Original,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",200.0,200.0
Ching's Secret Pad Thai Noodles - Extra Hot Thai Chilli,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",200.0,200.0
Ching's Secret Red Chilli Sauce,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",105.0,105.0
"Ching's Secret Sauce, Green Chilli",3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",55.0,55.0
Ching's Secret Schezwan Fried Rice Masala,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",15.0,15.0
Ching's Secret Schezwan Instant Noodle,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",114.0,114.0
Ching's Secret Singapore Curry Instant Noodles,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",15.0,15.0
Ching's Secret Sweet Corn Soup,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",55.0,55.0
Ching's Secret Tomato Instant Soup,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",10.0,10.0
Ching's Secret Tomato Oats Instant Soup,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",15.0,15.0
Ching's Secret Tomato Soup,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",55.0,55.0
Chings Instant Soup - Hot & Sour,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",10.0,10.0
Chings Instant Soup - Sweet Corn Veg,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",10.0,10.0
Chings Secret Hot Garlic Instant Noodles,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",91.0,91.0
Chings Secret Manchurian Instant Noodle,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",60.0,60.0
Cornitos Cornitos Taco Shells - 6 Inches,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",160.0,160.0
Dabur Hommade - Imli Sauce Saunth,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",20.0,20.0
Dabur Hommade - Kalonji Tamatar Ki Chutney,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",65.0,65.0
Dabur Hommade - Rajasthan Ki Garlic Chutne,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",65.0,65.0
Del Monte Black Sliced Olives,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",250.0,250.0
Del Monte Eggless Mayo,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",135.0,135.0
Del Monte Green Chili Sauce,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",55.0,55.0
Del Monte Natural Vinegar,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",55.0,55.0
Del Monte Original Blend Tomato Ketchup Pouch,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",120.0,120.0
Del Monte Pitted Green Olives,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",250.0,250.0
Del Monte Pizza & Pasta Sauce Spout Pack,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",99.0,99.0
Del Monte Red Chili Sauce,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",55.0,55.0
Del Monte Schezwan Sauce,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",55.0,55.0
Dettol Clinical Strength Hand Sanitizer Liquid,3,3,"Health & Hygiene, Paan Corner, Personal Care",250.0,250.0
Dettol Hand Sanitizer,3,3,"Health & Hygiene, Paan Corner, Personal Care",100.0,100.0
Dettol Original Germ Protection Alcohol Based Hand Sanitizer,3,3,"Health & Hygiene, Paan Corner, Personal Care",25.0,25.0
Dr Oetker Cucumber & Carrot Sandwich Spread Veg,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",79.0,79.0
Eastern Chicken Masala,3,3,"Cooking Essentials, Meats, Fish & Eggs, Munchies",70.0,70.0
Eastern Fish Masala,3,3,"Cooking Essentials, Meats, Fish & Eggs, Munchies",48.0,48.0
Everest Meat Masala Powder,3,3,"Cooking Essentials, Meats, Fish & Eggs, Munchies",74.0,74.0
Everest Powder - Egg Curry Masala,3,3,"Cooking Essentials, Meats, Fish & Eggs, Munchies",40.0,40.0
Ferrero Nutella Hazelnut Spread,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",220.0,220.0
Ferrero Nutella Hazeulnut Spread,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",380.0,380.0
Figaro Pitted Black Olive,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",179.0,179.0
Figaro Plain Green Olive,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",179.0,179.0
Figaro Sliced Black Olive,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",179.0,179.0
Gillette Venus Close & Clean Razor,3,3,"Health & Hygiene, Paan Corner, Personal Care",249.0,249.0
Gits Pav Bhaji Ready to Eat,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",110.0,110.0
Godrej Yummiez Cheese Corn Nuggets,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",230.0,230.0
Hershey's Cocoa + Almond Spread,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",295.0,295.0
Hershey's Cocoa Spread,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",295.0,295.0
ITC Master Chef Cheesy Corn Triangles,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",160.0,160.0
ITC Master Chef Chicken Galouti Kebab,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",170.0,170.0
ITC Master Chef Chicken Seekh Kabab,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",325.0,325.0
ITC Master Chef Classic Aloo Tikki,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",80.0,80.0
ITC Master Chef Crispy Chicken Fries,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",170.0,170.0
ITC Master Chef Lebanese Falafel Kebab,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",130.0,130.0
ITC Master Chef Veggie Pizza Pocket,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food",170.0,170.0
